Utility,Year,Month,Zip Code,Reconnection Fee Amount
Avista,2020,10,99223,0.0
Avista,2020,10,99224,0.0
Avista,2020,10,99228,0.0
Avista,2020,10,99260,0.0
Avista,2020,10,99326,0.0
Avista,2020,10,99335,0.0
Avista,2020,10,99341,0.0
Avista,2020,10,99344,0.0
Avista,2020,10,99371,0.0
Avista,2020,10,99402,0.0
Avista,2020,10,99403,0.0
Avista,2020,11,98620,0.0
Avista,2020,11,98648,0.0
Avista,2020,11,98857,0.0
Avista,2020,11,99001,0.0
Avista,2020,11,99003,0.0
Avista,2020,11,99004,0.0
Avista,2020,11,99005,0.0
Avista,2020,11,99006,0.0
Avista,2020,11,99008,0.0
Avista,2020,11,99009,0.0
Avista,2020,11,99011,0.0
Avista,2020,11,99012,0.0
Avista,2020,11,99013,0.0
Avista,2020,11,99014,0.0
Avista,2020,11,99016,0.0
Avista,2020,11,99018,0.0
Avista,2020,11,99019,0.0
Avista,2020,11,99020,0.0
Avista,2020,11,99021,0.0
Avista,2020,11,99022,0.0
Avista,2020,11,99023,0.0
Avista,2020,11,99025,0.0
Avista,2020,11,99026,0.0
Avista,2020,11,99027,0.0
Avista,2020,11,99029,0.0
