Utility,Year,Month,Zip Code,Uncollectible Arrearage Amount
Avista,2025,3,98620,248.23
Avista,2025,5,99216,10434.48
Avista,2025,1,99129,936.48
Avista,2025,5,99037,2525.71
Avista,2025,4,99218,13982.72
Avista,2025,1,99012,164.4
Avista,2025,1,99029,1613.07
Avista,2025,2,99148,3602.39
Avista,2025,3,99032,419.44
Avista,2025,9,99205,37307.98
Avista,2025,3,99344,7893.97
Avista,2025,9,99025,1102.99
Avista,2025,7,99102,2416.15
Avista,2025,9,99403,15103.46
Avista,2025,3,99110,4875.18
Avista,2025,6,99161,463.16
Avista,2025,5,99163,17858.71
Avista,2025,4,99025,686.45
Avista,2025,7,99141,10351.65
Avista,2025,2,99344,5172.89
Avista,2025,2,99160,554.27
Avista,2025,4,99016,9645.81
Avista,2025,7,99003,1456.19
Avista,2025,7,99103,3644.49
Avista,2025,1,99403,17814.52
Avista,2025,5,99129,6.39
Avista,2025,3,99122,357.06
Avista,2025,1,99013,156.3
Avista,2025,2,99029,294.44
Avista,2025,4,99137,995.48
Avista,2025,2,99026,249.2
Avista,2025,4,99022,7151.96
Avista,2025,2,99129,469.85
Avista,2025,4,99114,4152.71
Avista,2025,3,99341,1246.7
Avista,2025,3,99159,638.22
Avista,2025,6,98648,428.13
Avista,2025,6,99207,100668.12
Avista,2025,8,99122,5266.88
Avista,2025,4,99030,820.5
Avista,2025,7,99170,1011.47
Avista,2025,8,99204,11367.89
Avista,2025,6,99151,1478.32
Avista,2025,1,99170,327.02
Avista,2025,5,99040,2602.16
Avista,2025,5,99208,52197.56
Avista,2025,5,99029,3615.83
Avista,2025,1,99138,1038.44
Avista,2025,3,99201,19562.39
Avista,2025,6,99223,27078.19
Avista,2025,1,99181,424.64
Avista,2025,3,99030,942.87
Avista,2025,9,99173,1125.67
Avista,2025,1,99173,351.24
Avista,2025,7,99341,1281.43
Avista,2025,8,99205,49274.8
Avista,2025,4,99181,2652.19
Avista,2025,8,99025,1208.39
Avista,2025,6,99141,2427.83
Avista,2025,4,98620,1524.24
Avista,2025,9,99103,27.33
Avista,2025,6,99101,3941.75
Avista,2025,5,99138,1281.82
Avista,2025,3,99218,8262.95
Avista,2025,8,99217,18393.3
Avista,2025,6,99102,313.13
Avista,2025,8,99163,36492.35
Avista,2025,1,99001,1088.72
Avista,2025,1,99216,11508.75
Avista,2025,6,99224,29227.09
Avista,2025,2,99004,440.39
Avista,2025,9,99129,3796.77
Avista,2025,8,99224,18344.96
Avista,2025,1,99003,1405.68
Avista,2025,4,99039,263.18
Avista,2025,9,99032,438.22
Avista,2025,4,99101,1436.11
Avista,2025,7,99134,83.2
Avista,2025,4,99403,29198.55
Avista,2025,9,99341,988.74
Avista,2025,8,99110,736.21
Avista,2025,8,99216,19942.11
Avista,2025,7,99009,1740.42
Avista,2025,9,99026,230.49
Avista,2025,5,99141,7126.67
Avista,2025,9,99033,287.65
Avista,2025,9,99212,27735.61
Avista,2025,5,99013,543.12
Avista,2025,2,99218,5399.44
Avista,2025,5,99026,1425.67
Avista,2025,2,99341,90.25
Avista,2025,1,99005,3763.57
Avista,2025,2,99001,2910.67
Avista,2025,4,99344,13052.52
Avista,2025,8,99040,1476.91
Avista,2025,5,99030,1836.56
Avista,2025,4,99033,2365.62
Avista,2025,2,99126,33.42
Avista,2025,8,99402,715.79
Avista,2025,6,99205,62200.28
Avista,2025,7,99110,888.84
Avista,2025,9,99141,1992.73
Avista,2025,6,99003,1002.89
Avista,2025,5,99212,15235.14
Avista,2025,9,99022,5043.5
Avista,2025,1,99009,933.62
Avista,2025,4,99032,730.64
Avista,2025,2,99223,13292.05
Avista,2025,7,99159,2110.78
Avista,2025,6,99114,14437.02
Avista,2025,5,99402,2075.2
Avista,2025,7,99148,5558.2
Avista,2025,9,99206,19390.36
Avista,2025,7,99157,598.23
Avista,2025,7,99207,81090.44
Avista,2025,1,99016,7555.78
Avista,2025,9,99122,3999.42
Avista,2025,7,99013,4499.06
Avista,2025,8,99146,46.72
Avista,2025,4,99203,5674.32
Avista,2025,9,99167,36.41
Avista,2025,7,99101,1413.33
Avista,2025,5,98620,815.53
Avista,2025,4,99004,2451.61
Avista,2025,9,99171,11.62
Avista,2025,3,99185,108.66
Avista,2025,8,99026,3773.3
Avista,2025,4,99129,1834.8
Avista,2025,5,99001,4116.69
Avista,2025,6,99004,5851.3
Avista,2025,4,99217,17672.63
Avista,2025,5,99006,6073.14
Avista,2025,2,99202,14408.98
Avista,2025,3,99224,11774.62
Avista,2025,1,99004,1092.64
Avista,2025,8,99371,690.0
Avista,2025,4,99027,1763.52
Avista,2025,1,99006,1984.4
Avista,2025,8,99161,1545.13
Avista,2025,3,99167,648.15
Avista,2025,8,99223,17719.02
Avista,2025,7,99016,17373.85
Avista,2025,4,99130,968.63
Avista,2025,5,99205,41682.93
Avista,2025,2,99102,317.03
Avista,2025,5,99110,47.45
Avista,2025,8,99030,38.73
Avista,2025,7,99218,14451.03
Avista,2025,6,99026,1729.17
Avista,2025,2,99033,1152.46
Avista,2025,3,99037,1896.45
Avista,2025,4,99125,189.27
Avista,2025,1,99224,7006.51
Avista,2025,3,99034,74.39
Avista,2025,3,99005,3182.39
Avista,2025,4,99161,1007.19
Avista,2025,3,99173,2341.39
Avista,2025,7,99169,2775.68
Avista,2025,7,98620,1267.62
Avista,2025,5,99341,675.49
Avista,2025,8,99218,16561.03
Avista,2025,4,99037,688.71
Avista,2025,5,99158,179.86
Avista,2025,6,99111,4513.96
Avista,2025,5,99344,12058.76
Avista,2025,3,99102,346.81
Avista,2025,5,99202,28272.7
Avista,2025,8,99037,2803.0
Avista,2025,6,99204,23267.69
Avista,2025,7,99126,820.41
Avista,2025,4,99006,2026.52
Avista,2025,2,99122,489.36
Avista,2025,7,99037,3033.07
Avista,2025,8,99103,415.97
Avista,2025,6,99117,1632.61
Avista,2025,9,99201,25904.89
Avista,2025,2,99109,150.16
Avista,2025,6,99218,19058.58
Avista,2025,9,99223,23056.16
Avista,2025,6,99005,2681.23
Avista,2025,8,99022,10274.82
Avista,2025,3,99138,1308.91
Avista,2025,8,99207,55984.42
Avista,2025,6,99212,40427.07
Avista,2025,4,99173,322.62
Avista,2025,9,99217,11195.0
Avista,2025,2,99169,1389.39
Avista,2025,8,99114,3463.41
Avista,2025,2,99027,2186.21
Avista,2025,6,99403,22290.78
Avista,2025,8,99029,2761.31
Avista,2025,9,99109,1659.02
Avista,2025,2,99206,8156.64
Avista,2025,7,99205,60379.21
Avista,2025,8,99005,1912.54
Avista,2025,7,99403,25791.58
Avista,2025,2,99037,844.24
Avista,2025,8,99141,1681.34
Avista,2025,2,99217,10118.43
Avista,2025,2,99003,2721.71
Avista,2025,1,99157,407.53
Avista,2025,3,99207,56144.21
Avista,2025,9,99110,1043.87
Avista,2025,6,99022,8026.82
Avista,2025,3,99111,924.48
Avista,2025,3,99203,6746.51
Avista,2025,5,99149,1229.78
Avista,2025,1,99032,2088.62
Avista,2025,6,99202,37487.81
Avista,2025,5,99031,1171.22
Avista,2025,6,99173,4440.92
Avista,2025,4,99212,27269.37
Avista,2025,4,99141,3226.24
