Utility,Year,Month,Zip Code,Vintage,Arrearage_Amount
Avista,2025,5,99205,Total Arrearages,377661.1
Avista,2025,5,99141,60 Days,22309.81
Avista,2025,9,99012,30 Days,1479.33
Avista,2025,1,99218,Total Arrearages,29726.26
Avista,2025,2,99126,90 Days +,2132.23
Avista,2025,5,99149,Total Arrearages,4596.37
Avista,2025,5,99101,Total Arrearages,13021.78
Avista,2025,3,99129,30 Days,1637.08
Avista,2025,6,99102,90 Days +,1412.61
Avista,2025,2,99149,Total Arrearages,2272.29
Avista,2025,7,99033,30 Days,269.04
Avista,2025,1,99113,30 Days,396.1
Avista,2025,2,99034,60 Days,542.39
Avista,2025,1,99031,Total Arrearages,8111.8
Avista,2025,6,99111,90 Days +,18828.06
Avista,2025,4,99202,60 Days,101612.29
Avista,2025,1,99134,90 Days +,1766.81
Avista,2025,9,99019,30 Days,5615.71
Avista,2025,3,99157,60 Days,331.38
Avista,2025,8,99020,90 Days +,223.68
Avista,2025,4,99034,Total Arrearages,2821.71
Avista,2025,5,99009,90 Days +,3834.67
Avista,2025,1,99126,60 Days,1188.32
Avista,2025,5,99033,90 Days +,15361.74
Avista,2025,3,99003,30 Days,1835.87
Avista,2025,5,99034,60 Days,9800.0
Avista,2025,1,99030,Total Arrearages,4932.64
Avista,2025,8,99164,Total Arrearages,0.0
Avista,2025,2,99144,90 Days +,0.0
Avista,2025,3,99016,90 Days +,19768.07
Avista,2025,1,99201,60 Days,11147.19
Avista,2025,3,99012,60 Days,2244.11
Avista,2025,9,99143,Total Arrearages,6451.38
Avista,2025,6,99149,30 Days,103.14
Avista,2025,6,99117,30 Days,247.45
Avista,2025,6,99169,Total Arrearages,18739.33
Avista,2025,2,99114,30 Days,8763.65
Avista,2025,5,99020,Total Arrearages,662.39
Avista,2025,1,99005,30 Days,1644.51
Avista,2025,8,99109,90 Days +,7944.65
Avista,2025,7,99114,Total Arrearages,64806.55
Avista,2025,2,99113,Total Arrearages,298.53
Avista,2025,7,99111,Total Arrearages,27745.49
Avista,2025,6,99163,30 Days,15125.91
Avista,2025,4,99341,30 Days,1092.45
Avista,2025,4,99218,90 Days +,24360.32
Avista,2025,7,99016,Total Arrearages,74613.76
Avista,2025,9,99026,90 Days +,422.56
Avista,2025,2,99344,60 Days,2699.31
Avista,2025,1,99111,30 Days,1263.16
Avista,2025,2,99110,30 Days,2541.27
Avista,2025,5,99012,Total Arrearages,6294.91
Avista,2025,2,99181,Total Arrearages,10007.4
Avista,2025,3,99173,90 Days +,6021.46
Avista,2025,2,99143,60 Days,247.28
Avista,2025,9,99016,60 Days,39731.36
Avista,2025,3,99207,60 Days,68239.58
Avista,2025,6,99102,Total Arrearages,4720.34
Avista,2025,3,99025,30 Days,3172.92
Avista,2025,3,99219,90 Days +,0.0
Avista,2025,6,99128,60 Days,1468.62
Avista,2025,2,99036,90 Days +,0.0
Avista,2025,3,99125,30 Days,400.51
Avista,2025,4,99206,60 Days,127514.55
Avista,2025,6,99030,60 Days,1461.09
Avista,2025,6,99104,Total Arrearages,0.0
Avista,2025,6,99181,90 Days +,3596.28
Avista,2025,7,99143,90 Days +,3493.84
Avista,2025,1,98648,60 Days,220.52
Avista,2025,7,99201,Total Arrearages,117680.87
Avista,2025,1,99039,30 Days,102.3
Avista,2025,5,99131,90 Days +,0.0
Avista,2025,4,99018,90 Days +,1633.07
Avista,2025,9,99014,90 Days +,1831.59
Avista,2025,4,99021,60 Days,20960.54
Avista,2025,5,99125,30 Days,171.9
Avista,2025,5,99174,60 Days,422.5
Avista,2025,3,98857,90 Days +,0.0
Avista,2025,4,99141,Total Arrearages,37514.44
Avista,2025,1,99223,30 Days,18880.1
Avista,2025,1,99016,Total Arrearages,31294.15
Avista,2025,7,99101,90 Days +,5788.5
Avista,2025,3,99149,90 Days +,2359.95
Avista,2025,4,99109,30 Days,3726.31
