Utility,Zip Code,Month,Arrearage Count
PSE,98053,2025-06-01,394
NWN,98686,2025-04-01,700
PSE,98011,2023-05-01,1471
PSE,98940,2024-04-01,191
Avista,99341,2021-08-01,41
PSE,98258,2023-10-01,1781
PSE,98373,2025-03-01,1989
PSE,98110,2021-08-01,1287
PSE,98065,2021-10-01,616
PSE,98946,2021-11-01,42
PSE,98144,2025-02-01,1211
PSE,98589,2022-01-01,418
CNG,98524,2022-01-01,4
Avista,99020,2025-05-01,4
Avista,99185,2024-04-01,71
CNG,98310,2023-02-01,614
PSE,98498,2021-05-01,1577
PSE,98133,2024-06-01,924
CNG,98276,2022-02-01,20
PSE,98230,2024-09-01,1059
NWN,98660,2024-09-01,308
NWN,98663,2024-09-01,202
PSE,98502,2023-09-01,2763
PSE,98045,2022-11-01,791
Avista,98857,2025-09-01,1
Avista,99006,2021-11-01,256
Avista,99174,2023-11-01,4
NWN,98127,2024-12-01,0
CNG,98584,2023-12-01,135
PSE,98391,2024-12-01,3056
PAC, 98936  ,2024-08-01,299
PSE,98102,2021-10-01,577
PSE,98033,2023-12-01,1866
Avista,99204,2022-12-01,574
PSE,98498,2024-02-01,2078
PSE,98030,2025-01-01,3483
Avista,99144,2021-12-01,0
PSE,98328,2021-08-01,56
PSE,98024,2024-09-01,255
NWN,98683,2024-04-01,1005
NWN,98612,2025-04-01,0
Avista,99025,2025-01-01,75
Avista,99260,2024-01-01,0
NWN,98610,2023-02-01,54
PSE,98260,2022-04-01,319
PSE,98106,2021-04-01,406
PSE,98530,2024-04-01,72
PSE,98512,2024-12-01,2368
PSE,98022,2023-09-01,2204
Avista,99117,2025-03-01,26
Avista,99039,2022-02-01,6
PSE,98467,2024-07-01,305
PSE,98188,2023-04-01,880
PSE,98117,2024-12-01,837
Avista,99129,2024-05-01,82
CNG,98264,2022-08-01,540
PSE,98383,2022-06-01,1305
CNG,98284,2023-01-01,272
CNG,98625,2024-05-01,25
PSE,98074,2021-08-01,917
NWN,98610,2024-09-01,36
PSE,98277,2022-11-01,3372
PSE,98004,2023-12-01,2464
Avista,99137,2024-02-01,22
Avista,99326,2024-10-01,19
PSE,98444,2025-01-01,748
Avista,99001,2021-04-01,199
Avista,99012,2022-02-01,51
PSE,98408,2023-07-01,977
Avista,98857,2024-11-01,1
PSE,98056,2021-01-01,2224
Avista,99402,2021-12-01,58
PSE,98502,2022-09-01,2627
NWN,98662,2022-06-01,1150
CNG,98220,2024-06-01,11
Avista,99110,2023-02-01,41
PSE,98284,2022-03-01,1610
CNG,98550,2022-07-01,162
Avista,99156,2022-04-01,1
PSE,98295,2024-02-01,91
Avista,99146,2025-08-01,3
Avista,99122,2025-09-01,84
PSE,98591,2022-01-01,11
PSE,98467,2024-01-01,262
PSE,98087,2025-03-01,862
PSE,98031,2022-03-01,2940
PSE,98406,2022-03-01,781
PSE,98270,2024-05-01,2081
CNG,98550,2022-06-01,143
Avista,99228,2024-07-01,0
Avista,99040,2024-09-01,61
PSE,98391,2023-09-01,3177
PSE,98262,2022-09-01,121
CNG,98370,2024-10-01,161
PSE,98022,2021-10-01,1913
PSE,98030,2021-06-01,2804
PAC, 98953  ,2024-11-01,440
PSE,98337,2025-05-01,62
PSE,98367,2023-11-01,1674
PSE,98115,2023-03-01,952
PSE,98418,2023-12-01,560
PSE,98023,2022-12-01,3299
PAC, 99348  ,2024-10-01,32
PSE,98056,2025-03-01,3391
PSE,98029,2021-03-01,1277
CNG,98383,2022-12-01,218
Avista,99004,2025-03-01,198
PSE,98396,2022-08-01,31
Avista,99040,2022-03-01,76
PSE,98405,2024-11-01,957
PSE,98380,2021-03-01,211
NWN,98601,2024-09-01,0
PSE,98940,2025-04-01,102
PSE,98346,2021-12-01,452
PSE,98337,2024-09-01,811
Avista,99403,2022-09-01,817
PSE,98422,2024-04-01,474
PSE,98158,2022-09-01,1
PSE,98020,2021-02-01,289
PSE,98201,2022-05-01,1001
Avista,99223,2024-10-01,1087
CNG,98524,2023-02-01,5
PSE,98383,2024-07-01,1556
PSE,98380,2024-11-01,296
PSE,98532,2021-02-01,151
PSE,98059,2021-01-01,1647
Avista,99016,2022-06-01,720
PSE,98443,2023-06-01,66
PSE,98103,2023-02-01,1100
Avista,99167,2025-03-01,30
PSE,98353,2022-01-01,1
CNG,98276,2024-04-01,29
PSE,98353,2022-06-01,2
Avista,99161,2022-08-01,63
Avista,99131,2022-12-01,5
Avista,99009,2022-01-01,89
PSE,98439,2025-01-01,534
PSE,98024,2023-11-01,252
CNG,98953,2023-08-01,36
