Utility,Year,Month,Zip Code,Collections Accounts Customer Count
Avista,2025,9,99022,17
Avista,2025,9,99025,3
Avista,2025,9,99026,1
Avista,2025,9,99027,6
Avista,2025,9,99029,1
Avista,2025,9,99030,1
Avista,2025,9,99032,1
Avista,2025,9,99033,1
Avista,2025,9,99037,8
Avista,2025,9,99040,1
Avista,2025,9,99101,4
Avista,2025,9,99102,1
Avista,2025,9,99103,1
Avista,2025,9,99109,5
Avista,2025,9,99110,2
Avista,2025,9,99111,3
Avista,2025,9,99113,1
Avista,2025,9,99114,29
Avista,2025,9,99117,2
Avista,2025,9,99122,7
Avista,2025,9,99126,3
Avista,2025,9,99129,9
Avista,2025,9,99138,7
Avista,2025,9,99141,5
Avista,2025,9,99148,1
Avista,2025,9,99157,2
Avista,2025,9,99159,2
Avista,2025,9,99160,1
Avista,2025,9,99161,1
Avista,2025,9,99163,118
Avista,2025,9,99167,1
Avista,2025,9,99169,8
Avista,2025,9,99170,2
Avista,2025,9,99173,2
Avista,2025,9,99181,1
Avista,2025,9,99185,4
Avista,2025,9,99201,68
Avista,2025,9,99202,70
Avista,2025,9,99203,14
Avista,2025,9,99204,44
Avista,2025,9,99205,102
Avista,2025,9,99206,53
Avista,2025,9,99207,98
Avista,2025,9,99208,120
Avista,2025,9,99212,60
Avista,2025,9,99216,52
Avista,2025,9,99217,38
Avista,2025,9,99218,44
Avista,2025,9,99223,59
Avista,2025,9,99224,49
Avista,2025,9,99341,3
Avista,2025,9,99344,24
Avista,2025,9,99402,2
Avista,2025,9,99403,36
Avista,2025,10,98620,7
Avista,2025,10,98648,1
Avista,2025,10,99001,20
Avista,2025,10,99003,4
Avista,2025,10,99004,8
Avista,2025,10,99005,3
Avista,2025,10,99006,10
Avista,2025,10,99008,1
Avista,2025,10,99009,3
Avista,2025,10,99012,2
Avista,2025,10,99013,1
Avista,2025,10,99016,39
Avista,2025,10,99019,15
Avista,2025,10,99021,13
Avista,2025,10,99022,10
