Utility,Year,Month,Zip Code,Disconnection Notice Count
Avista,2025,8,99008,10
Avista,2025,8,99009,13
Avista,2025,8,99012,14
Avista,2025,8,99013,27
Avista,2025,8,99016,196
Avista,2025,8,99018,2
Avista,2025,8,99019,121
Avista,2025,8,99020,1
Avista,2025,8,99021,67
Avista,2025,8,99022,67
Avista,2025,8,99025,34
Avista,2025,8,99026,23
Avista,2025,8,99027,85
Avista,2025,8,99029,17
Avista,2025,8,99030,11
Avista,2025,8,99031,7
Avista,2025,8,99032,7
Avista,2025,8,99033,13
Avista,2025,8,99034,3
Avista,2025,8,99037,22
Avista,2025,8,99040,28
Avista,2025,8,99101,20
Avista,2025,8,99102,10
Avista,2025,8,99103,3
Avista,2025,8,99109,41
Avista,2025,8,99110,10
Avista,2025,8,99111,47
Avista,2025,8,99113,2
Avista,2025,8,99114,156
Avista,2025,8,99117,1
Avista,2025,8,99122,25
Avista,2025,8,99125,2
Avista,2025,8,99126,16
Avista,2025,8,99128,2
Avista,2025,8,99129,18
Avista,2025,8,99130,13
Avista,2025,8,99131,2
Avista,2025,8,99134,6
Avista,2025,8,99137,9
Avista,2025,8,99138,31
Avista,2025,8,99141,71
Avista,2025,8,99143,2
Avista,2025,8,99146,2
Avista,2025,8,99148,24
Avista,2025,8,99151,4
Avista,2025,8,99157,15
Avista,2025,8,99158,6
Avista,2025,8,99159,8
Avista,2025,8,99160,2
Avista,2025,8,99161,14
Avista,2025,8,99163,210
Avista,2025,8,99167,10
Avista,2025,8,99169,30
Avista,2025,8,99170,10
Avista,2025,8,99171,14
Avista,2025,8,99173,41
Avista,2025,8,99179,2
Avista,2025,8,99181,28
Avista,2025,8,99185,17
Avista,2025,8,99201,241
Avista,2025,8,99202,293
Avista,2025,8,99203,176
Avista,2025,8,99204,103
Avista,2025,8,99205,651
Avista,2025,8,99206,278
Avista,2025,8,99207,578
Avista,2025,8,99208,742
Avista,2025,8,99212,308
Avista,2025,8,99216,255
Avista,2025,8,99217,216
Avista,2025,8,99218,196
Avista,2025,8,99223,324
