Utility,Year,Month,Zip Code,Late Fee Amount
PSE,2024,3,98058,0.0
CNG,2024,10,98295,0.0
PSE,2020,11,98257,0.0
NWN,2023,12,98620,0.0
PSE,2021,9,98337,0.0
PSE,2020,9,98342,0.0
Avista,2021,12,99170,0.0
PAC,2020,12,99301,0.0
CNG,2023,3,98240,0.0
Avista,2024,8,99206,0.0
PSE,2022,12,98424,0.0
PSE,2024,5,98028,0.0
PAC,2020,1,98935,289.0
Avista,2020,7,99159,0.0
PSE,2020,10,98208,0.0
PSE,2023,7,98105,0.0
PAC,2023,3,99350,0.0
PSE,2023,1,98043,0.0
PSE,2023,6,98501,0.0
PAC,2021,2,99350,0.0
Avista,2021,2,99402,0.0
Avista,2025,2,99341,0.0
Avista,2023,2,99009,0.0
PSE,2025,5,98102,0.0
PSE,2020,5,98040,0.0
Avista,2021,9,99169,0.0
PSE,2025,9,98058,0.0
PSE,2021,7,98026,0.0
CNG,2025,9,98274,0.0
Avista,2025,10,99027,0.0
PSE,2023,8,98266,0.0
Avista,2025,2,99003,0.0
PAC,2022,3,98908,0.0
Avista,2020,10,99344,0.0
Avista,2021,2,99161,0.0
PSE,2025,10,98032,0.0
Avista,2023,3,99341,0.0
Avista,2020,8,99185,0.0
Avista,2023,9,99326,0.0
PSE,2021,12,98370,0.0
CNG,2024,8,98292,0.0
NWN,2025,7,98119,0.0
PSE,2021,12,98596,0.0
PSE,2023,5,98446,0.0
PSE,2024,11,98579,0.0
PSE,2024,12,98052,0.0
NWN,2025,2,98666,0.0
Avista,2024,1,99170,0.0
Avista,2025,2,99138,0.0
PSE,2022,2,98051,0.0
PSE,2022,2,98274,0.0
Avista,2021,6,99163,0.0
PSE,2024,3,98418,0.0
PSE,2020,11,98042,0.0
NWN,2023,2,98635,0.0
Avista,2025,5,99129,0.0
CNG,2025,6,98273,0.0
CNG,2021,7,98282,0.0
Avista,2021,8,99170,0.0
PSE,2023,11,98337,0.0
Avista,2021,6,99125,0.0
Avista,2020,4,99143,0.0
Avista,2025,4,99161,0.0
NWN,2022,10,98612,0.0
CNG,2024,9,99324,0.0
PSE,2023,5,98373,0.0
Avista,2022,9,99008,0.0
PSE,2024,1,98177,0.0
PSE,2023,8,98047,0.0
PSE,2024,9,98402,0.0
Avista,2020,12,99176,0.0
Avista,2021,2,99176,0.0
PSE,2021,1,98327,0.0
PSE,2023,5,98248,0.0
Avista,2024,2,99185,0.0
PSE,2025,5,98926,0.0
PSE,2024,7,98338,0.0
PSE,2025,10,98122,0.0
PSE,2022,3,98188,0.0
CNG,2024,10,98632,0.0
PSE,2025,12,98038,0.0
CNG,2022,10,98953,0.0
PSE,2023,7,98387,0.0
Avista,2021,8,99151,0.0
PSE,2025,9,98366,0.0
PAC,2020,6,98942,0.0
PSE,2025,7,98273,0.0
PSE,2023,8,98038,0.0
PAC,2022,11,98937,0.0
Avista,2023,12,99019,0.0
CNG,2022,8,98902,0.0
Avista,2023,4,99006,0.0
NWN,2020,7,98610,0.0
PSE,2024,7,98230,0.0
PSE,2025,8,98148,0.0
CNG,2025,6,98229,0.0
PSE,2023,7,98003,0.0
PSE,2023,9,98102,0.0
PSE,2024,3,98004,0.0
Avista,2021,4,99011,0.0
Avista,2020,9,99033,0.0
PSE,2021,9,98103,0.0
NWN,2023,8,98672,0.0
CNG,2021,3,98337,0.0
Avista,2024,8,99040,0.0
Avista,2025,2,99204,0.0
Avista,2023,9,99341,0.0
Avista,2024,3,99176,0.0
CNG,2022,5,98625,0.0
Avista,2025,6,99174,0.0
PSE,2020,8,98506,0.0
PAC,2023,7,99348,0.0
PSE,2023,3,98266,0.0
PSE,2024,11,98166,0.0
PSE,2020,11,98110,0.0
Avista,2021,12,99109,0.0
PSE,2023,12,98070,0.0
Avista,2023,6,98648,0.0
PSE,2025,4,98284,0.0
PSE,2024,6,98033,0.0
Avista,2024,8,99171,0.0
CNG,2020,12,98311,0.0
CNG,2024,7,98230,0.0
CNG,2024,4,98248,0.0
NWN,2025,8,98682,0.0
PAC,2022,11,98930,0.0
PSE,2023,2,98037,0.0
PSE,2020,7,98208,0.0
CNG,2024,7,99301,0.0
PAC,2022,6,98948,0.0
PSE,2020,10,98404,0.0
Avista,2022,9,99027,0.0
PSE,2023,2,98121,0.0
PSE,2024,4,98258,0.0
PSE,2025,8,98257,0.0
PSE,2025,4,98270,0.0
Avista,2021,6,99026,0.0
Avista,2024,10,99170,0.0
CNG,2020,5,98930,0.0
Avista,2024,9,99144,0.0
Avista,2023,5,99030,0.0
PSE,2024,11,98239,0.0
PAC,2024,6,98938,0.0
PSE,2020,10,98332,0.0
PAC,2023,12,98932,0.0
PSE,2020,6,98371,0.0
PSE,2022,10,98941,0.0
PSE,2024,8,98390,0.0
PSE,2022,11,98038,0.0
PSE,2021,5,98005,0.0
CNG,2025,8,98223,0.0
PSE,2023,10,98512,0.0
Avista,2022,9,99223,0.0
PSE,2023,1,98026,0.0
CNG,2020,10,98310,0.0
PSE,2020,10,98337,0.0
NWN,2025,3,98665,0.0
PSE,2022,12,98934,0.0
Avista,2020,10,99114,0.0
Avista,2024,1,99027,0.0
PSE,2024,5,98360,0.0
PSE,2024,1,98271,0.0
PSE,2023,9,98148,0.0
PSE,2021,7,98375,0.0
PSE,2025,4,98101,0.0
PSE,2022,9,98346,0.0
CNG,2023,3,98312,0.0
CNG,2024,3,98311,0.0
PSE,2023,2,98335,0.0
PSE,2022,9,98022,0.0
PSE,2023,1,98270,0.0
NWN,2020,5,98672,0.0
PSE,2022,9,98118,0.0
PSE,2022,11,98117,0.0
PSE,2022,3,98439,0.0
NWN,2022,7,98119,0.0
PSE,2024,3,98424,0.0
NWN,2021,11,98208,0.0
PSE,2022,6,98506,0.0
PAC,2020,6,99301,0.0
NWN,2025,7,98762,0.0
PSE,2024,4,98342,0.0
PSE,2022,2,98105,0.0
CNG,2023,12,98264,0.0
CNG,2022,12,98225,0.0
PSE,2021,7,98001,0.0
CNG,2020,11,98901,0.0
CNG,2025,11,98220,0.0
PSE,2023,8,98070,0.0
Avista,2025,6,99128,0.0
PSE,2024,3,98373,0.0
NWN,2022,1,98663,0.0
NWN,2023,9,98617,0.0
CNG,2024,6,98942,0.0
PSE,2025,6,98404,0.0
NWN,2021,10,98668,0.0
PSE,2021,6,98934,0.0
PSE,2021,2,98166,0.0
Avista,2024,12,99224,0.0
Avista,2025,10,99164,0.0
Avista,2022,6,99037,0.0
CNG,2025,11,99344,0.0
NWN,2024,10,97031,0.0
PSE,2023,11,98106,0.0
Avista,2025,12,99102,0.0
CNG,2025,3,98674,0.0
Avista,2024,4,99131,0.0
PSE,2022,1,98922,0.0
Avista,2025,10,99109,0.0
Avista,2025,9,99148,0.0
Avista,2023,9,99012,0.0
