Utility,Year,Month,Zip Code,Bad Debt Amount
Avista,2025,9,99025,1102.99
Avista,2025,9,99026,219.99
Avista,2025,9,99027,6209.22
Avista,2025,9,99029,526.87
Avista,2025,9,99030,896.93
Avista,2025,9,99032,438.22
Avista,2025,9,99033,287.65
Avista,2025,9,99037,1241.91
Avista,2025,9,99040,400.0
Avista,2025,9,99101,2025.28
Avista,2025,9,99102,263.16
Avista,2025,9,99103,27.33
Avista,2025,9,99109,1659.02
Avista,2025,9,99110,1043.87
Avista,2025,9,99111,219.32
Avista,2025,9,99113,1306.96
Avista,2025,9,99114,16872.48
Avista,2025,9,99117,3207.82
Avista,2025,9,99122,3999.42
Avista,2025,9,99126,5547.77
Avista,2025,9,99129,3796.77
Avista,2025,9,99138,2052.13
Avista,2025,9,99141,1992.73
Avista,2025,9,99148,348.12
Avista,2025,9,99157,578.84
Avista,2025,9,99159,339.78
Avista,2025,9,99160,321.21
Avista,2025,9,99161,935.05
Avista,2025,9,99163,27569.06
Avista,2025,9,99167,36.41
Avista,2025,9,99169,3752.9
Avista,2025,9,99170,1701.5
Avista,2025,9,99173,1125.67
Avista,2025,9,99181,293.81
Avista,2025,9,99185,3462.07
Avista,2025,9,99201,25840.25
Avista,2025,9,99202,20324.83
Avista,2025,9,99203,3509.66
Avista,2025,9,99204,11792.02
Avista,2025,9,99205,37291.89
Avista,2025,9,99206,19380.22
Avista,2025,9,99207,39110.71
Avista,2025,9,99208,51472.42
Avista,2025,9,99212,27694.87
Avista,2025,9,99216,16708.18
Avista,2025,9,99217,11195.0
Avista,2025,9,99218,16062.91
Avista,2025,9,99223,23043.15
Avista,2025,9,99224,19577.03
Avista,2025,9,99341,988.74
Avista,2025,9,99344,8101.74
Avista,2025,9,99402,928.25
Avista,2025,9,99403,15103.46
Avista,2025,10,98620,2249.21
Avista,2025,10,98648,21.64
Avista,2025,10,99001,7693.42
Avista,2025,10,99003,658.72
Avista,2025,10,99004,3988.25
Avista,2025,10,99005,863.86
Avista,2025,10,99006,6440.64
Avista,2025,10,99008,1161.07
Avista,2025,10,99009,685.78
Avista,2025,10,99012,459.78
Avista,2025,10,99013,277.46
Avista,2025,10,99016,11798.93
Avista,2025,10,99019,4539.44
Avista,2025,10,99021,4133.23
Avista,2025,10,99022,3529.66
Avista,2025,10,99025,61.05
Avista,2025,10,99026,761.66
Avista,2025,10,99027,7214.38
Avista,2025,10,99029,0.0
Avista,2025,10,99030,5255.27
Avista,2025,10,99032,234.09
Avista,2025,10,99033,1488.16
Avista,2025,10,99037,656.29
Avista,2025,10,99040,413.11
Avista,2025,10,99101,1755.23
Avista,2025,10,99103,217.22
Avista,2025,10,99109,7159.61
Avista,2025,10,99110,533.99
Avista,2025,10,99111,3138.05
Avista,2025,10,99114,15423.45
Avista,2025,10,99117,455.58
Avista,2025,10,99122,6475.19
Avista,2025,10,99125,359.11
Avista,2025,10,99126,1069.57
Avista,2025,10,99129,2852.51
Avista,2025,10,99130,2327.8
Avista,2025,10,99131,317.21
Avista,2025,10,99137,341.37
Avista,2025,10,99138,1967.35
Avista,2025,10,99141,3448.36
Avista,2025,10,99143,512.75
Avista,2025,10,99148,2579.18
Avista,2025,10,99149,3494.92
Avista,2025,10,99157,98.3
Avista,2025,10,99158,949.77
Avista,2025,10,99159,1171.92
Avista,2025,10,99161,0.0
Avista,2025,10,99163,32037.48
Avista,2025,10,99167,325.72
Avista,2025,10,99169,2115.75
Avista,2025,10,99171,309.83
Avista,2025,10,99173,422.27
Avista,2025,10,99179,629.52
Avista,2025,10,99181,3926.54
Avista,2025,10,99185,313.73
Avista,2025,10,99201,22941.36
Avista,2025,10,99202,17829.33
Avista,2025,10,99203,12446.02
Avista,2025,10,99204,6789.04
Avista,2025,10,99205,41878.18
Avista,2025,10,99206,18672.22
Avista,2025,10,99207,53662.82
Avista,2025,10,99208,60946.92
Avista,2025,10,99212,30468.9
Avista,2025,10,99216,19070.2
Avista,2025,10,99217,25596.5
Avista,2025,10,99218,9565.63
Avista,2025,10,99223,17945.61
Avista,2025,10,99224,13838.03
Avista,2025,10,99341,535.69
Avista,2025,10,99344,12052.61
Avista,2025,10,99371,1330.93
Avista,2025,10,99402,1316.56
Avista,2025,10,99403,18752.87
Avista,2025,11,98620,239.48
Avista,2025,11,99001,5654.66
Avista,2025,11,99004,2054.26
Avista,2025,11,99005,467.73
Avista,2025,11,99006,2146.34
Avista,2025,11,99013,1064.39
Avista,2025,11,99016,6938.66
Avista,2025,11,99019,1169.93
Avista,2025,11,99021,612.1
Avista,2025,11,99022,2590.14
Avista,2025,11,99025,1210.67
Avista,2025,11,99026,632.55
Avista,2025,11,99027,2232.19
Avista,2025,11,99029,390.24
Avista,2025,11,99030,522.98
Avista,2025,11,99031,548.41
Avista,2025,11,99037,147.42
Avista,2025,11,99101,545.31
Avista,2025,11,99109,1113.36
Avista,2025,11,99114,5608.63
Avista,2025,11,99117,40.64
Avista,2025,11,99122,1475.72
Avista,2025,11,99125,136.97
