Utility,Year,Month,Zip Code,Vintage,Arrearage_Amount
PSE,2023,8,98338,60 Days,66227.63
Avista,2023,2,99125,30 Days,4630.18
PSE,2021,12,98373,60 Days,38931.35
PSE,2022,7,98117,Total Arrearages,179558.47
Avista,2023,2,99205,90 Days +,224345.62
PSE,2023,8,98433,30 Days,19949.85
PAC,2024,11,99350,60 Days,341.7
PSE,2023,6,98146,Total Arrearages,242841.689999999
CNG,2023,6,98550,60 Days,7800.89
PSE,2020,9,98107,90 Days +,12899.75
PSE,2023,2,98373,Total Arrearages,957183.839999998
PSE,2025,7,98390,30 Days,63207.95
PSE,2023,12,98056,90 Days +,876858.48
PAC,2025,1,98923,90 Days +,3151.52
PSE,2023,5,98337,Total Arrearages,416886.579999999
PSE,2024,5,98125,Total Arrearages,213878.12
NWN,2023,9,97031,90 Days +,7379.92
PSE,2020,7,98340,30 Days,3733.57
Avista,2020,7,99128,60 Days,125.27
PSE,2024,11,98443,60 Days,1234.25
NWN,2024,5,98639,Total Arrearages,6142.55
PSE,2022,11,98591,90 Days +,2476.1
PSE,2022,5,98257,90 Days +,76724.84
PSE,2023,1,98108,60 Days,9518.59
PSE,2023,1,98506,60 Days,37603.68
Avista,2024,4,99160,Total Arrearages,1570.5
CNG,2020,5,98274,30 Days,9585.15
CNG,2022,9,98550,Total Arrearages,23309.09
Avista,2023,7,99021,30 Days,12395.02
PSE,2021,2,98925,Total Arrearages,51543.96
PSE,2022,2,98247,30 Days,53397.07
PAC,2022,8,98901,Total Arrearages,1220793.68
PAC,2024,7,99350,90 Days +,69.79
PSE,2022,4,98934,Total Arrearages,57624.07
CNG,2025,6,98337,60 Days,6911.65
PSE,2024,6,98922,60 Days,78169.95
PAC,2021,6,98952,30 Days,14454.59
Avista,2020,12,99344,90 Days +,110365.72
PSE,2024,11,98116,Total Arrearages,130448.46
Avista,2023,4,99003,60 Days,7099.13
PSE,2020,11,98158,30 Days,47.37
PSE,2022,6,98380,90 Days +,143271.879999999
NWN,2021,9,98639,Total Arrearages,2270.81
PSE,2022,6,98022,90 Days +,484760.709999999
CNG,2022,11,98264,Total Arrearages,2944.98
PSE,2023,1,98439,30 Days,41083.05
Avista,2024,4,99174,60 Days,127.38
PSE,2024,12,98255,90 Days +,39598.0
PSE,2024,5,98296,60 Days,17068.66
PSE,2025,6,98036,60 Days,37385.14
Avista,2025,11,99224,90 Days +,53536.04
NWN,2024,12,98125,60 Days,0.0
CNG,2022,6,99336,60 Days,7978.89
CNG,2023,2,98541,60 Days,1266.61
PSE,2020,10,98499,90 Days +,62919.29
PSE,2023,12,98106,60 Days,10743.71
PSE,2023,6,98199,Total Arrearages,156653.029999999
PSE,2025,3,98068,90 Days +,10815.98
CNG,2024,1,99336,30 Days,23676.77
PSE,2024,9,98372,30 Days,149242.19
PSE,2020,9,98108,60 Days,9088.92
PSE,2024,5,98065,60 Days,47758.39
PSE,2024,5,98372,30 Days,246205.47
PSE,2025,7,98023,60 Days,343716.89
PSE,2024,1,98168,60 Days,29147.99
CNG,2022,6,98550,60 Days,7070.1
PSE,2021,8,98244,30 Days,15813.0
Avista,2025,4,99144,90 Days +,0.0
CNG,2021,4,98370,Total Arrearages,22996.12
NWN,2025,3,98127,90 Days +,0.0
NWN,2021,8,98663,Total Arrearages,33818.92
PSE,2022,4,98021,30 Days,30572.05
PSE,2021,11,98208,60 Days,11073.13
CNG,2020,9,98953,Total Arrearages,8303.69
PAC,2024,9,99360,90 Days +,1845.59
Avista,2023,11,99148,90 Days +,11320.22
Avista,2023,11,99005,90 Days +,24547.27
Avista,2020,8,99141,60 Days,8743.42
